Data;4385 - PIB mensal - Em US$ milhões - US$ (milhões)
10/2011;216.152
11/2011;218.338
12/2011;209.568
01/2012;203.259
02/2012;213.659
03/2012;221.353
04/2012;207.864
05/2012;202.170
06/2012;192.765
07/2012;201.399
08/2012;206.088
09/2012;198.273
10/2012;212.176
11/2012;205.901
12/2012;198.643
01/2013;200.761
02/2013;201.121
03/2013;218.463
04/2013;222.236
05/2013;216.123
06/2013;199.369
07/2013;200.287
08/2013;193.137
09/2013;196.654
10/2013;216.832
11/2013;204.520
12/2013;198.952
01/2014;190.158
02/2014;191.059
03/2014;205.168
04/2014;214.875
05/2014;216.674
06/2014;206.237
07/2014;218.581
08/2014;212.813
09/2014;209.912
10/2014;206.855
11/2014;194.312
12/2014;188.202
01/2015;178.137
02/2015;163.640
03/2015;161.906
04/2015;160.875
05/2015;158.200
06/2015;155.028
07/2015;154.702
08/2015;140.273
09/2015;125.799
10/2015;132.220
11/2015;133.944
12/2015;131.442
01/2016;117.368
02/2016;122.031
03/2016;141.158
04/2016;144.780
05/2016;144.815
06/2016;151.346
07/2016;158.469
08/2016;164.624
09/2016;160.485
10/2016;168.958
11/2016;163.114
12/2016;162.987
01/2017;160.684
02/2017;164.610
03/2017;179.449
04/2017;171.582
05/2017;171.862
06/2017;164.649
07/2017;171.185
08/2017;176.530
09/2017;173.607
10/2017;178.116
11/2017;175.848
12/2017;175.062
01/2018;171.515
02/2018;165.867
03/2018;178.844
04/2018;171.499
05/2018;153.692
06/2018;153.940
07/2018;153.779
08/2018;151.597
09/2018;139.338
10/2018;162.164
11/2018;159.910
12/2018;154.068
01/2019;154.422
02/2019;154.772
03/2019;156.628
04/2019;157.585
05/2019;154.054
06/2019;154.966
07/2019;167.419
08/2019;156.651
09/2019;150.096
10/2019;158.751
11/2019;153.165
12/2019;154.290
01/2020;147.146
02/2020;141.449
03/2020;129.173
04/2020;105.651
05/2020;101.426
06/2020;115.775
07/2020;120.781
08/2020;115.607
09/2020;118.920
10/2020;118.684
11/2020;124.589
12/2020;136.328
01/2021;126.062
02/2021;130.097
03/2021;136.188
04/2021;132.555
05/2021;138.174
06/2021;145.787
07/2021;148.684
08/2021;146.253
09/2021;144.443
10/2021;139.638
11/2021;141.913
12/2021;140.699
01/2022;131.621
02/2022;144.821
03/2022;168.418
04/2022;173.729
05/2022;170.058
06/2022;167.071
07/2022;161.774
08/2022;169.470
09/2022;163.235
10/2022;166.786
11/2022;166.336
12/2022;168.254
01/2023;156.633
02/2023;160.377
03/2023;179.151
04/2023;178.943
05/2023;181.514
06/2023;184.376
07/2023;189.905
08/2023;188.209
09/2023;183.051
10/2023;185.421
11/2023;194.449
12/2023;193.960
Fonte;BCB-Depec
